Item,Description,Quantity On Hand,Quantity On Purchase Order,Price,Width,Height,Depth,Cub. ft,Weight
Cabinets(Cherryville):U1896-Cherryville,U1896-Cherryville,14.00 ,10.00 ,949.00 ,25.2,5.71,97.45,8.12,132.9
Cabinets(Cherryville):U2484-Cherryville,U2484-Cherryville,0.00 ,10.00 ,"1,199.00 ",25.2,6.5,85.63,8.12,132.900
Cabinets(Cherryville):U2490-Cherryville,U2490-Cherryville,0.00 ,10.00 ,"1,249.00 ",25.2,6.5,91.54,8.68,143.000
Cabinets(Cherryville):U2496-Cherryville,U2496-Cherryville,0.00 ,10.00 ,"1,299.00 ",25.2,6.5,97.45,9.23,152.000
Cabinets(Cherryville):V549SC-Cherryville,V549SC-Cherryville,20.00 ,10.00 ,99.00 ,0.91,0.63,5.06,0.17,4.0
Cabinets(Cherryville):V549ST-Cherryville,V549ST-Cherryville,20.00 ,10.00 ,99.00 ,0.91,0.63,5.06,0.17,5.0
Cabinets(Cherryville):VDB122130-Cherryville,VDB122130-Cherryville,19.00 ,70.00 ,389.00 ,32.3,6.3,21.7,2.548,45.8
Cabinets(Cherryville):VDB1221345-Cherryville,VDB1221345-Cherryville,20.00 ,0.00 ,439.00 ,22.45,6.70,36.03,3.14,56.9
Cabinets(Cherryville):VSB242130-Cherryville,VSB242130-Cherryville,80.00 ,45.00 ,279.00 ,33.1,5.1,25.2,2.468,37
Cabinets(Cherryville):VSB2421345-Cherryville,VSB2421345-Cherryville,20.00 ,0.00 ,319.00 ,25.20,5.71,36.03,3.00,39.5
Cabinets(Cherryville):VSB302130-Cherryville,VSB302130-Cherryville,34.00 ,100.00 ,319.00 ,32.7,5.5,31.1,3.242,43.1
Cabinets(Cherryville):VSB3021345-Cherryville,VSB3021345-Cherryville,39.00 ,0.00 ,369.00 ,31.50,5.71,36.03,3.75,46.8
Cabinets(Cherryville):VSB362130-Cherryville,VSB362130-Cherryville,22.00 ,35.00 ,369.00 ,38.2,5.1,32.3,3.652,49.5
Cabinets(Cherryville):VSB3621345-Cherryville,VSB3621345-Cherryville,20.00 ,0.00 ,409.00 ,33.08,5.71,37.60,4.11,53.2
Cabinets(Cherryville):VSB422130-Cherryville,VSB422130-Cherryville,9.00 ,10.00 ,479.00 ,44.9,5.5,32.7,4.678,68.2
Cabinets(Cherryville):VSB4221345-Cherryville,VSB4221345-Cherryville,0.00 ,0.00 ,519.00 ,33.08,5.71,43.51,4.76,74.3
Cabinets(Cherryville):VSB482130-Cherryville,VSB482130-Cherryville,18.00 ,10.00 ,529.00 ,50.4,5.5,32.7,5.246,83.2
Cabinets(Cherryville):VSB4821345-Cherryville,VSB4821345-Cherryville,0.00 ,0.00 ,569.00 ,33.08,5.71,49.41,5.40,84.7
Cabinets(Cherryville):W0930-Cherryville,W0930-Cherryville,25.00 ,54.00 ,159.00 ,13.39,5.32,31.7,1.31,20.7
Cabinets(Cherryville):W0936-Cherryville,W0936-Cherryville,2.00 ,35.00 ,199.00 ,13.39,5.32,37.6,1.55,24.6
Cabinets(Cherryville):W0942-Cherryville,W0942-Cherryville,5.00 ,20.00 ,229.00 ,13.39,5.32,43.51,1.8,28.6
Cabinets(Cherryville):W1230-Cherryville,W1230-Cherryville,57.00 ,135.00 ,179.00 ,13.39,5.91,31.7,1.45,23.8
Cabinets(Cherryville):W1236-Cherryville,W1236-Cherryville,17.00 ,105.00 ,219.00 ,13.39,5.91,37.6,1.73,28.2
Cabinets(Cherryville):W1242-Cherryville,W1242-Cherryville,3.00-,85.00 ,249.00 ,13.39,5.91,43.51,2,33.4
Cabinets(Cherryville):W1530-Cherryville,W1530-Cherryville,20.00 ,125.00 ,199.00 ,16.34,5.32,31.7,1.6,28.2
Cabinets(Cherryville):W1536-Cherryville,W1536-Cherryville,1.00 ,87.00 ,239.00 ,16.34,5.32,37.6,1.89,32.1
Cabinets(Cherryville):W1542-Cherryville,W1542-Cherryville,10.00 ,70.00 ,279.00 ,16.34,5.32,43.51,2.19,38.3
Cabinets(Cherryville):W1830-Cherryville,W1830-Cherryville,53.00 ,70.00 ,209.00 ,19.3,5.32,31.7,1.89,31.7
Cabinets(Cherryville):W1836-Cherryville,W1836-Cherryville,24.00 ,67.00 ,269.00 ,19.3,5.32,37.6,2.24,36.5
Cabinets(Cherryville):W1842-Cherryville,W1842-Cherryville,26.00 ,46.00 ,299.00 ,19.3,5.32,43.51,2.59,42.7
Cabinets(Cherryville):W2130-Cherryville,W2130-Cherryville,37.00 ,53.00 ,229.00 ,22.45,5.32,31.7,2.19,36.1
Cabinets(Cherryville):W2136-Cherryville,W2136-Cherryville,7.00-,55.00 ,299.00 ,22.45,5.32,37.6,2.6,40.9
Cabinets(Cherryville):W2142-Cherryville,W2142-Cherryville,15.00 ,36.00 ,329.00 ,22.45,5.32,43.51,3.01,48.4
Cabinets(Cherryville):W2424-Cherryville,W2424-Cherryville,11.00 ,27.00 ,229.00 ,25.2,5.91,25.4,2.19,31.9
Cabinets(Cherryville):W2430-Cherryville,W2430-Cherryville,73.00 ,140.00 ,259.00 ,25.2,5.32,31.7,2.46,40
Cabinets(Cherryville):W2436-Cherryville,W2436-Cherryville,1.00-,120.00 ,309.00 ,25.2,5.32,37.6,2.92,44.4
Cabinets(Cherryville):W2442-Cherryville,W2442-Cherryville,19.00 ,70.00 ,349.00 ,25.2,5.32,43.51,3.38,55
Cabinets(Cherryville):W2730-Cherryville,W2730-Cherryville,1.00-,105.00 ,279.00 ,28.35,5.32,31.7,2.77,44.9
Cabinets(Cherryville):W2736-Cherryville,W2736-Cherryville,2.00-,65.00 ,339.00 ,28.35,5.32,37.6,3.28,48.4
Cabinets(Cherryville):W2742-Cherryville,W2742-Cherryville,1.00 ,45.00 ,379.00 ,28.35,5.32,43.51,3.8,61.2
Cabinets(Cherryville):W3012-Cherryville,W3012-Cherryville,83.00 ,126.00 ,179.00 ,13.39,5.91,31.7,1.45,21.6
Cabinets(Cherryville):W3015-Cherryville,W3015-Cherryville,28.00 ,80.00 ,199.00 ,16.34,5.32,31.7,1.6,22
Cabinets(Cherryville):W3018-Cherryville,W3018-Cherryville,17.00 ,157.00 ,209.00 ,19.3,5.32,31.7,1.89,26.8
Cabinets(Cherryville):W3024-Cherryville,W3024-Cherryville,1.00 ,150.00 ,249.00 ,25.2,5.32,31.7,2.46,33.4
Cabinets(Cherryville):W3030-Cherryville,W3030-Cherryville,29.00 ,135.00 ,309.00 ,31.5,5.32,31.7,3.08,48.4
Cabinets(Cherryville):W3036-Cherryville,W3036-Cherryville,10.00 ,85.00 ,369.00 ,31.5,5.32,37.6,3.65,55.4
Cabinets(Cherryville):W3042-Cherryville,W3042-Cherryville,13.00 ,55.00 ,399.00 ,31.5,5.32,43.51,4.22,66
Cabinets(Cherryville):W3312-Cherryville,W3312-Cherryville,10.00 ,14.00 ,189.00 ,13.39,5.91,34.45,1.58,23.3
Cabinets(Cherryville):W3315-Cherryville,W3315-Cherryville,14.00 ,15.00 ,209.00 ,16.34,5.32,34.45,1.74,26
Cabinets(Cherryville):W3318-Cherryville,W3318-Cherryville,17.00 ,12.00 ,229.00 ,19.3,5.32,34.45,2.05,29.5
Cabinets(Cherryville):W3324-Cherryville,W3324-Cherryville,3.00 ,25.00 ,269.00 ,25.2,5.32,34.45,2.67,37.4
Cabinets(Cherryville):W3330-Cherryville,W3330-Cherryville,14.00 ,50.00 ,329.00 ,31.5,5.32,34.45,3.34,52.4
Cabinets(Cherryville):W3336-Cherryville,W3336-Cherryville,1.00 ,30.00 ,389.00 ,34.26,5.32,37.6,3.97,58.3
Cabinets(Cherryville):W3342-Cherryville,W3342-Cherryville,7.00 ,25.00 ,429.00 ,34.26,4.93,43.51,4.25,70.4
Cabinets(Cherryville):W3612-Cherryville,W3612-Cherryville,35.00 ,82.00 ,209.00 ,13.39,5.91,37.6,1.73,25.5
Cabinets(Cherryville):W3615-Cherryville,W3615-Cherryville,27.00 ,27.00 ,229.00 ,16.34,5.32,37.6,1.89,28.6
Cabinets(Cherryville):W3618-Cherryville,W3618-Cherryville,29.00 ,73.00 ,249.00 ,19.3,5.32,37.6,2.24,31.7
Cabinets(Cherryville):W3624-Cherryville,W3624-Cherryville,14.00 ,90.00 ,289.00 ,25.2,5.32,37.6,2.92,44
Cabinets(Cherryville):W3630-Cherryville,W3630-Cherryville,29.00 ,80.00 ,359.00 ,31.5,4.93,37.6,3.38,56.1
Cabinets(Cherryville):W3636-Cherryville,W3636-Cherryville,2.00 ,60.00 ,419.00 ,37.41,4.93,37.6,4.01,61.6
Cabinets(Cherryville):W3642-Cherryville,W3642-Cherryville,8.00 ,52.00 ,459.00 ,37.41,4.93,43.51,4.64,77
Cabinets(Cherryville):W4230-Cherryville,W4230-Cherryville,7.00 ,25.00 ,409.00 ,31.5,4.93,43.51,3.91,62.7
Cabinets(Cherryville):W4830-Cherryville,W4830-Cherryville,14.00 ,7.00 ,439.00 ,31.5,4.93,49.41,4.44,98.1
Cabinets(Cherryville):WEC1230-Cherryville,WEC1230-Cherryville,7.00 ,55.00 ,249.00 ,13.39,13.19,31.7,1.62,19.8
Cabinets(Cherryville):WEC1236-Cherryville,WEC1236-Cherryville,12.00 ,30.00 ,269.00 ,13.39,13.19,37.6,1.93,23.3
Cabinets(Cherryville):WEC1242-Cherryville,WEC1242-Cherryville,1.00 ,45.00 ,289.00 ,13.39,13.19,43.51,2.23,28.6
Cabinets(Cherryville):WMD1530-Cherryville,WMD1530-Cherryville Mullion Door Only,18.00 ,5.00 ,179.00 ,15.95,1.78,30.12,0.50,8.6
Cabinets(Cherryville):WMD1536-Cherryville,WMD1536-Cherryville Mullion Door Only,5.00-,22.00 ,199.00 ,15.95,1.78,36.03,0.59,10.2
Cabinets(Cherryville):WMD1542-Cherryville,WMD1542-Cherryville Mullion Door Only,19.00 ,0.00 ,229.00 ,15.95,1.78,41.93,0.69,12
Cabinets(Cherryville):WMD1830-Cherryville,WMD1830-Cherryville Mullion Door Only,22.00 ,0.00 ,219.00 ,19.10,1.78,30.12,0.59,10.2
Cabinets(Cherryville):WMD1836-Cherryville,WMD1836-Cherryville Mullion Door Only,4.00 ,14.00 ,239.00 ,19.10,1.78,36.03,0.71,12.4
Cabinets(Cherryville):WMD1842-Cherryville,WMD1842-Cherryville Mullion Door Only,7.00 ,5.00 ,269.00 ,19.10,1.78,41.93,0.83,14.8
Cabinets(Cherryville):WMD3030-Cherryville,WMD3030-Cherryville Mullion Door Only,9.00 ,7.00 ,359.00 ,16.15,2.56,30.12,0.72,16.1
Cabinets(Cherryville):WMD3036-Cherryville,WMD3036-Cherryville Mullion Door Only,3.00 ,17.00 ,399.00 ,16.15,2.56,36.03,0.87,19.7
Cabinets(Cherryville):WMD3042-Cherryville,WMD3042-Cherryville Mullion Door Only,16.00 ,5.00 ,439.00 ,16.15,2.56,41.93,1.01,22.8
Cabinets(Cherryville):WMD3630-Cherryville,WMD3630-Cherryville Mullion Door Only,13.00 ,0.00 ,439.00 ,19.30,2.56,30.12,0.87,19.2
Cabinets(Cherryville):WMD3636-Cherryville,WMD3636-Cherryville Mullion Door Only,6.00 ,3.00 ,479.00 ,19.30,2.56,36.03,1.03,22.8
