URL,Title,HTTP Status,Total Links,Page Authority,Number of Linking Root Domains,Facebook Shares,Facebook Likes,Twitter Shares,Google +1 Shares
http://www.finedesigns.com/event-apparel/by-state/virginia-va/arlington-spring-invitational.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/virginia-va/battlefield-tournament.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/virginia-va/beach-bash-lacrosse-tournament.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/virginia-va/east-coast-veterans-day-soccer-tournament.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/virginia-va/icebreaker-tournament.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/virginia-va/presidents-day-cup-and-showcase.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/virginia-va/pwsi-holiday-8v8-shootout.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/virginia-va/sand-soccer-shootout.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-state/virginia-va/ultimate-cup-14.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/baseball.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/basketball.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/basketball/uscaa-basketball-national-championships.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/cheeer-and-dance.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/cross-country.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/cross-country/2013-usatf-national-junior-olympic-cross-country-championships.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/field-hockey.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/gymnastics.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/hockey.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/hockey/2014-presidents-day-invitational.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/hockey/2014-presidents-day-tournament.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/horseshoe-pitching.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/ice-skating.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/ice-skating/2014-eastern-synchronized-skating-sectional-championships.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/ice-skating/2014-midwest-and-pacific-coast-synchronized-skating-sectional-championship.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/ice-skating/2014-u-s-synchronized-skating-championships.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/lacrosse.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/lacrosse/2014-dallas-lacrosse-springfest.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/lacrosse/2014-sand-storm-lacrosse-tournament.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/lacrosse/beach-bash-lacrosse-tournament.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/martial-arts.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/martial-arts/2014-battle-beyond-the-ring.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/soccer.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/soccer/2013-2014-norcal-state-cup.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/soccer/2014-bsc-friendlies.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/soccer/2014-mcdonald-s-coast-winter-classic.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/soccer/2014-tfc-friendlies.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/soccer/31st-annual-kickers-columbus-day-tournament.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/soccer/6th-annual-manhattan-kick-off-classic-and-college-showcase.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/soccer/annandale-premier-cup-1.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/soccer/annandale-premier-cup.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/soccer/arlington-spring-invitational.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/soccer/battlefield-tournament.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/soccer/college-showcase-tournament.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/soccer/des-moines-menace-online-store.html,"",No Data,1517,20,1,,,,
http://www.finedesigns.com/event-apparel/by-type/soccer/desert-classic.html,"",No Data,1517,20,1,,,,
